IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AMR,Americas,Country,USA,United States of America,Year,2019,true,,,,,,,,,,,,,10921,,,,,,10 921,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,,,,,,,,,,,,,1016,,,,,,1016,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AMR,Americas,Country,BRB,Barbados,Year,2019,true,,,,,,,,,,,,,1029,,,,,,1029,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,true,,,,,,,,,,,,,104.1,,,,,,104.1,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2019,true,,,,,,,,,,,,,104.6,,,,,,104.6,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,,,,,,,,,,,,,104.8,,,,,,104.8,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,,,,,,,,,,,,,1064,,,,,,1064,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,true,,,,,,,,,,,,,1071,,,,,,1071,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,true,,,,,,,,,,,,,110.6,,,,,,110.6,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AMR,Americas,Country,MEX,Mexico,Year,2019,true,,,,,,,,,,,,,1111,,,,,,1111,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,true,,,,,,,,,,,,,1122,,,,,,1122,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,,,,,,,,,,,,,1133,,,,,,1133,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,,,,,,,,,,,,,1140,,,,,,1140,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,,,,,,,,,,,,,1161,,,,,,1161,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2019,true,,,,,,,,,,,,,1187,,,,,,1187,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EUR,Europe,Country,TUR,Türkiye,Year,2019,true,,,,,,,,,,,,,1187,,,,,,1187,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,true,,,,,,,,,,,,,119.6,,,,,,119.6,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,true,,,,,,,,,,,,,1199,,,,,,1199,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AMR,Americas,Country,COL,Colombia,Year,2019,true,,,,,,,,,,,,,1204,,,,,,1204,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,true,,,,,,,,,,,,,122.4,,,,,,122.4,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,,,,,,,,,,,,,123.3,,,,,,123.3,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,TGO,Togo,Year,2019,true,,,,,,,,,,,,,125.6,,,,,,125.6,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,true,,,,,,,,,,,,,126,,,,,,126,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,true,,,,,,,,,,,,,1289,,,,,,1289,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,true,,,,,,,,,,,,,131.1,,,,,,131.1,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2019,true,,,,,,,,,,,,,1314,,,,,,1314,,,EN,2021-12-14T23:00:00.000Z
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2019,true,,,,,,,,,,,,,136.2,,,,,,136.2,,,EN,2021-12-14T23:00:00.000Z
